,Consumer_Comments
528,"Hi George Sushinsky, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. Your order is updated on our end and still shows delivery for May 13. qm:<\!-->96 Thank you.{""type"":""expand"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Sent from Yahoo Mail for iPhone"",""marks"":[{""type"":""link"",""attrs"":{""href"":"""
529,"Hi George Sushinsky, s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. Unfortunately, all deliveries for Friday 6/14 have been taken and we cannot accommodate this change. you. George{""type"":""expand"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Sent from Yahoo Mail for iPhone"",""marks"":[{""type"":""link"",""attrs"":{""href"":"""
530,"Hi George Sushinsky, s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning George, Thank you for contacting customer support. Our policy stands that orders that have only TEFAP products will not be charged a delivery fee. I have looked into your order scheduled for 6/26 and there is no delivery fee added to this order. You are all set. I have attached a PDF of your order for you to reference."
531,"Hi George Sushinsky, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning and thank you for contacting customer support. Unfortunately we do not have any more available slots for 8/9. We do however have slots available for 8/8 Thursday from 12-2pm. Please let me know if this is something you are interested in as soon as possible so that I can reach out to our warehouse team and update them CIArra , Thank you. Thursday will be better than Tuesday. Do I need to reorder the items? George No need to replace the order, we have updated your order on our end to 8/8 12-2pm CiArra you"
532,"GGood morning, I hope you are doing well. I moved the delivery date for you. Thank you! ""D"" qm:""D"", Thank you so much. George"
533,"Good morning, Thank you for reaching out to Customer Relations, and Happy New Year! I have gone ahead and canceled your order. Thank you, and have a great day! ""D"""
534,", ""When there are able-bodied family members in residence"" is an assumption.,,},}]}]}],""attrs"":} qm:|! -->| | | | | Your email request has been received by the Ask USDA Contact Center and your case number is 01715889. The details of the case are provided below: Case Subject: PART1-7845 Re: Issue with Food Assistance Delivery from Gaithersburg HELP Date: Email: Your case will be reviewed and addressed. Please contact us if you have any additional questions. Please be sure to reference the above case number. Regards, Ask USDA Contact Center ref:!00Dt00LBMO.!| really. We know the ages of your household members, and you told our coordinator that some if them work in DC. Nonetheless, we could not deliver food for 9 people. Somehow, your family managed to pick up food at the pantry many times. Margo,,,,}]}]}],""attrs"":} qm:|! -->| | | | | Your email request has been received by the Ask USDA Contact Center and your case number is 01715896. The details of the case are provided below: Case Subject: PART1-7845 Re: Issue with Food Assistance Delivery from Gaithersburg HELP Date: Email: Your case will be reviewed and addressed. Please contact us if you have any additional questions. Please be sure to reference the above case number. Regards, Ask USDA Contact Center ref:!00Dt00LBMO.!| were able to pick up when I had a vehicle but there have been times when delivery was accommodated before having transportation, around 2018. Just so you are aware, working doesn't automatically mean someone is able-bodied. ""Able-bodied"" typically refers to a person who has no physical disabilities and can perform tasks without any limitations caused by a disability. Many people with disabilities or health conditions can still work, often with the help of accommodations or support. So, just because someone has a job, it doesn't necessarily mean they don't have a disability. It's important to look at each person's unique situation and disabilities which you have indicated is not asked. Thank you for your response. This ends our conversation, however, I have added other agencies in this correspondence just so they are aware. Best regards,},}]}]}],""attrs"":} qm:|! -->| | | | | Your email request has been received by the Ask USDA Contact Center and your case number is 01715904. The details of the case are provided below: Case Subject: PART1-7845 Re: Issue with Food Assistance Delivery from Gaithersburg HELP Date: Email: Your case will be reviewed and addressed. Please contact us if you have any additional questions. Please be sure to reference the above case number. Regards, Ask USDA Contact Center ref:!00Dt00LBMO.!| Passing this information to partnership coordinators -CiArra Good morning and thank you for contacting customer support. I have forwarded this chain of communications to our regional partnership coordinators. They will be in touch, we appreciate your feedback and patience CiArra qm:|! -->| | | | | Your email request has been received by the Ask USDA Contact Center and your case number is 01716068. The details of the case are provided below: Case Subject: PART1-7845 Re: Issue with Food Assistance Delivery from Gaithersburg HELP Date: Email: Your case will be reviewed and addressed. Please contact us if you have any additional questions. Please be sure to reference the above case number. Regards, Ask USDA Contact Center ref:!00Dt00LBMO.!| you read my response, you'll see that this doesn't warrant a major investigation. The client simply asked us to do something that we physically could not do, that is, deliver food to 9 people, most of whom are able to go to school and work. We don't have resources for major food delivery. It's as simple as that. Margo,,,,}]}]}],""attrs"":} qm:|! -->| | | | | Your email request has been received by the Ask USDA Contact Center and your case number is 01716203. The details of the case are provided below: Case Subject: PART1-7845 Re: Issue with Food Assistance Delivery from Gaithersburg HELP Date: Email: Your case will be reviewed and addressed. Please contact us if you have any additional questions. Please be sure to reference the above case number. Regards, Ask USDA Contact Center ref:!00Dt00LBMO.!| Good afternoon, I hope this message finds you well. Thank you for including the Capital Area Food Bank s Customer Relations Team on this email. Reports and incidents like this one are reviewed and handled by each Region s Regional Team, who manage the relationships with our partners and address any concerns that arise. The manager for the Maryland Region is Gaby Massie. You can reach her at or +12026449809. We take client feedback seriously and will investigate this matter. Please feel free to email Gaby with any questions, concerns, or updates related to this issue. Thank you, ""D"" qm:|! -->| | | | | Your email request has been received by the Ask USDA Contact Center and your case number is 01719248. The details of the case are provided below: Case Subject: PART1-7845 Re: Issue with Food Assistance Delivery from Gaithersburg HELP Date: Email: Your case will be reviewed and addressed. Please contact us if you have any additional questions. Please be sure to reference the above case number. Regards, Ask USDA Contact Center ref:!00Dt00LBMO.!| qm:|! -->| | | | | Your email request has been received by the Ask USDA Contact Center and your case number is 01719249. The details of the case are provided below: Case Subject: PART1-7845 Re: Issue with Food Assistance Delivery from Gaithersburg HELP Date: Email: Your case will be reviewed and addressed. Please contact us if you have any additional questions. Please be sure to reference the above case number. Regards, Ask USDA Contact Center ref:!00Dt00LBMO.!|"
535,"qm: (46 kB) Good afternoon, Thank you for contacting customer support. Your order was delivered at today. Please let me know if you would like any further assistance."
536,"Closing out ticket, Items were not found and I reached out to partner to communicate"
537,"!Screenshot 2024-12-16 at 11.50.33 AM.png|thumbnail! Keeping open to monitor- CiArra Good morning Lucy, I will pass this along to OPS so that they are aware of this. ""D"""
538,"Good afternoon, We hope that this finds you well and youa re staying safe in thsi weather! This is to confrim that your order SO189970 will be delivered on Monday, January 13th from 12pm-2pm. Thank you, ""D"""
539,"Good afternoon, Thank you for contacting customer support. Order SO184847 is open and scheduled for pick-up on 11/21 at 10am. Can you please confirm if you would like to keep this order open or if you would like for us to close it? would like to keep the order opened. Thank you. Alright, you are all set then. I will be marking this ticket as completed. Thank you."
540,"Good morning, Thank you for contacting customer support. I have gone ahead and cancelled this order. Please note that orders can only be cancelled through contacting customer support as there is no feature online yet for partners to cancel orders themselves. Ms. Hillman. I just tried to place a new order for the same day and time. I received a notification that I have an open order for SO184847. I was able to add to that order even though you cancelled it. Please let me know if you receive the update. I will be picking it up on November 21st. Thank you. Karen Coates"
541,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Duplicate. Partner is able to access PL."
542,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Hello, Thank you for contacting customer support. I have reset your password to a new temporary password. Please try logging in with your email and GHEF2024 as your new password. If it works, you can either keep it or choose your own. Please let me know if you try logging in and are still having the same issue."
543,"qm: Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting Customer Service. Unfortunately, we are unable to accommodate this request at the moment. Our delivery schedule is fully booked until next week, and we cannot add more delivery slots to ensure all deliveries are made on time. Please let us know how you would like to proceed with your orders. Thank you, ""D"" , we will make arrangements to pick up the order tomorrow. Thank you."
544,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. I have notified our Transportation team of your request for delivery of SO161408 and will follow up with any updates. Good afternoon, Thank you for contacting customer support. Your order has been scheduled to a delivery for today at . Please ensure that someone is on-site during that time to receive and sign for the order."
545,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank"
546,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon and thank you for contacting customer support. I have forwarded this request to my management and warehouse team. I will follow up with you as soon as I have confirmation of the cancellation CiArra Good afternoon, this order has been cancelled CiArra"
547,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. Please attempt to log-in using this temporary password: GHEF2024 If you are still having issues logging in after the password reset, please let me know."
548,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting Customer Service. Unfortunately, we are unable to accommodate this request at the moment. Our delivery schedule is fully booked until next week, and we cannot add more delivery slots to ensure all deliveries are made on time. Please let us know how you would like to proceed with your orders. Thank you, ""D"" This partner had a duplicate of his request. His request was denied becuase we had no delivery openings for the days he requested and this partner has had a history of needing last minute changes to his orders and making multiple orders for food that he cannot pickup due to transportation issues."
549,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Duplicate. Partner is able to access PL."
550,"Thank you for inquiring about the availability of turkeys. With Thanksgiving and the holiday season approaching, we understand the demand for turkeys from our clients and partners. We have two trucks scheduled that arrived in early October with purchased turkeys available on a first-come, first-served basis. Please note that these turkeys will not be free and will have associated costs. Donated turkeys are traditionally received closer to Thanksgiving. If our Food Resource Team is able to procure additional turkeys, they will also be available for purchase on a first-come, first-served basis. Customer Service cannot reserve or allocate turkeys for any partner. If you are looking for alternative sources of turkey offerings or region-specific turkey donations, we recommend reaching out to your Regional Team. It's important to note that Customer Service will not be involved in the allocation of turkeys. All turkeys, unless already pre-planned for, will be available on a first-come, first-served basis through PartnerLink. We appreciate your understanding and cooperation. CiArra , See email below. Who is our regional team so that I can contact them regarding Turkeys."
552,", On Thursday (), Good Success Food Pantry is scheduled to pick up order SO184904. We are also scheduled to pick up another order (SO185530) on Friday 11/22. For better efficiency, we will pick up both of these orders on Friday 11/22 at . Thank you and please confirm receipt of this email. Good afternoon, Thank you for contacting Customer Support. Order SO184904 is locked for fulfillment and we can t make any changes to your order during this time. I have submitted a request for your order on Thursday to be picked up on Friday and let you know once that change has been approved. Good afternoon, I am writing to confirm that your order will be available for pickup on Friday. Please reach out to us whenever you need to make requests like this, especially during the busy season. If your order is locked, it can be difficult to change the time and date with our Operations Department, so your communication is important. Thank you, and have a great night. Best regards, ""D"""
553,"Good morning, Thank you for contacting customer support. Please confirm the Sales Order Number for the order that you would like edited. SO184904 - 19698-PART-01 Good Success Christian Church Good afternoon, Thank you for contacting customer support. Unfortunately, the 21st is fully booked and we are unable to accommodate a delivery for that day. Our soonest availability to reschedule is Tuesday, November 26th. Please let me know if you would like to move your order to that day. Called partner bc we do have availability for pickup Thursday afternoon. Request sent to Mike O. Waiting on approval. CH 11/15 , Please confirm that we are booked for a pick-up on November 21st between and . Thank you. Hi Melodie, We are still waiting for our Operations team to confirm your order change. I should have an update for you by the end of the day today. Good afternoon, Your order has been confirmed for pick-up on 11/21 at 1pm. , Any word on the Turkeys for Good Success Christian Church. Please let me know. Thanks for your assistance."
554,"!Outlook-A picture .png|thumbnail! !image000000 (564ccf69-2cef-4236-848c-ea29ddd3acb7).jpg|thumbnail! Hi Alanna King, s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning Alanna. The chicken comes to us fresh and not frozen in which because its HALAL has a very distinct odor which some will consider bad odor. But the chicken is still good as long as it's frozen. I now realize that this fresh produce that's coming in can not last longer than a week. So, we will need to start pushing it out sooner. I will check the inventory to see what we can offer ---- }],""attrs"":},]},,""content"":,""attrs"":}, I see, okay thank you. Let me know if I can help with anything! Best, Alanna ---- }],""attrs"":},]},, Thank you for sending this along. ""D"""
555,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. I am looking into the dates for your previous orders to confirm that they are safe to eat. As a reference, feel free to use our Food Coding Guide (attached) as a resource when navigating different dates. I will follow up with you as soon as I get updates regarding the products you asked about. Hi Andrea, I hope you are doing well. I wanted to talk to you about the ticket you submitted. I apologize for the delay. One of my team members brought up your concerns regarding some items you received from us. After discussing your concerns about the salad dressing with my management and the Food Sourcing Team responsible for all the food that comes into the Food Bank, here are some points I wanted to share with you. Regarding the salad dressing, our Food Resourcing Team does not have a specific recommendation for shelf-stable milk or salad dressing in our Food Coding Guide. We suggest following the USDA's recommendation regarding this product specifically and apologize for not being able to provide further insight. Partners and clients should use their eyes, noses, and, taste buds to determine if a food is spoiled and therefore unsafe to eat. Of course, if a product is showing any signs of spoilage such as rot, mold, foul odor, etc., we will accept a return. I have brought this issue to management's attention, and I agree that our Food Coding Guide needs improvement. I will raise this with our leadership for further review. In response to your second point, I acknowledge the importance of best-by dates for our partners and their clients. However, our team faces challenges in obtaining these dates for donated products. One challenge arises during packing events when volunteers check and pack donated items into cases labeled as assorted on the menu. These assorted cases contain items from various donors and are packed without specific best-by date information for each individual product. Another challenge occurs when we receive donated products in different case lots-with different dates, making it difficult to provide accurate best-by dates to our partners. We don't know what case lot your order is going to be pulled from until its pulled the day before or two before its delivered or picked up. Although we practice FIFO (first in, first out) inventory management, the dynamic nature of our inventory makes it challenging to predict best-by dates with certainty. As our inventory of donated products increases, we are committed to improving our processes to provide partners with the information they need to make informed decisions. We are continuously seeking ways to improve our processes, and I encourage partners to participate in the upcoming Partner meetings in July to address any questions or recommendations regarding product dates. Thank you for bringing these concerns to our attention. Warm regards, ""D"""
556,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you, Andrea, for your feedback. First, I'd like to apologize for your experience with the kale. I have taken the following steps to address this issue: # One of my team members is reaching out to the Operations Department to inspect the quality of the kale we currently have. # I have shared your feedback with the Food Resourcing Team, responsible for sourcing and ordering food for our menu, including fresh produce. Thank you for bringing this to our attention. Sincerely, ""D"" One of our Operations Team Members brought me two cases of the kale we currently have and this is what it looked like: you very much ""D"" for taking the time and effort. Looks good. Very minimal yellowing. Sincerely, Andrea [Yahoo Mail: Search, Organize, Conquer| On Wed, Aug 21, 2024 at PM, DH wrote: - - - Reply above this line. DH commented: One of our Operations Team Members brought me two cases of the kale we currently have and this is what it looked like: [ <[ [ <[ [ <[ [View request| [Turn off this request's notifications| This is shared with [ Sent on August 21, 2024 :19 PM EDT No problem at all! You are so welcome, I'm glad we could help!"
557,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning Andrea, Thank you for contacting customer support. We apologize for the quality of produce you received. I have forwarded this feedback to our food resourcing and inventory teams for reference. Please feel free to dispose of the spoiled product if you have the space for it."
558,"qm: Good afternoon, Andrea, I hope this message finds you well. I m very sorry to hear about the state of the produce you received from us. I have forwarded the photos you sent and your feedback to the Operations and Food Resources Team to investigate what went wrong. I understand there are many changes happening in our warehouse at this time, and we are committed to improving our quality checks and overall operational functions. Please accept our sincerest apologies for the impact this situation has had on your distribution efforts. As a gesture of goodwill, we will waive the delivery fee for that order since you were unable to use most of the produce items. Once accounting has my boss s approval which has already been initiated that fee will be waived. Thank you for your understanding. Best regards, ""D"" you ""D"" for your help! We appreciate that CAFB is trying to improve its services. Blessings, Andrea [Yahoo Mail: Search, Organize, Conquer| On Mon, Oct 28, 2024 at PM, DH wrote: - - - Reply above this line. DH commented: Good afternoon, Andrea, I hope this message finds you well. I m very sorry to hear about the state of the produce you received from us. I have forwarded the photos you sent and your feedback to the Operations and Food Resources Team to investigate what went wrong. I understand there are many changes happening in our warehouse at this time, and we are committed to improving our quality checks and overall operational functions. Please accept our sincerest apologies for the impact this situation has had on your distribution efforts. As a gesture of goodwill, we will waive the delivery fee for that order since you were unable to use most of the produce items. Once accounting has my boss s approval which has already been initiated that fee will be waived. Thank you for your understanding. Best regards, ""D"" ---- DH resolved this as Done. How was our service for this request? |[ | Very poor |[ | |[ | |[ | |[ | good | [View request| [Turn off this request's notifications| This is shared with [ Sent on October 28, 2024 :32 PM EDT !"
559,"qm: Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, I hope you are doing well. Thank you for reaching out to Customer Service. I have passed this information along to our Operations Team for more information. When they respond, I will let you know. Thank you, and have a great weekend! ""D"" Good afternoon Andrea, We apologize for the misunderstanding regarding the mislabeled item online. The Operations Department is investigating this issue to prevent it from happening again. Thank you for reporting this, and I apologize for the mix-up. Thank you, ""D"""
560,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. Unfortunately, we cannot unlock your order. Please note that your order is locked to accommodate our 3-day business rule for fulfillment, in addition to us being closed tomorrow to observe the Juneteenth holiday. , There was no announcement and the account was open this morning so I assumed it was same as usual. I did not have time to sit down and do a final edit until this afternoon. A reminder would have been helpful and appreciated. -Andrea [Yahoo Mail: Search, Organize, Conquer| On Tue, Jun 18, 2024 at PM, CH wrote: - - - Reply above this line. CH resolved this as Done. How was our service for this request? |[ | Very poor |[ | |[ | |[ | |[ | good | [View request| [Turn off this request's notifications| This is shared with and [ Sent on June 18, 2024 :36 PM EDT"
561,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Andrea, I appreciate your patience on this matter. Please see the answer below from our Food Resourcing Team: Unfortunately, the partner cannot repack meat unless they have a USDA clean room. So this product is best for a partner that produces meals. I will update the product name. Thank you, ""D"" you for the explanation. [Yahoo Mail: Search, Organize, Conquer| On Tue, Jul 23, 2024 at AM, DH wrote: - - - Reply above this line. DH commented: Good morning, Andrea, I appreciate your patience on this matter. Please see the answer below from our Food Resourcing Team: Unfortunately, the partner cannot repack meat unless they have a USDA clean room. So this product is best for a partner that produces meals. I will update the product name. Thank you, ""D"" [View request| [Turn off this request's notifications| This is shared with [ Sent on July 23, 2024 :24 AM EDT !"
562,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. We are looking into this and will follow up with you when we have updates. Good afternoon, I just received feedback from our inventory team that this item is bulk packed and comes as one 30lb case. Not individually packed CiArra you. [Yahoo Mail: Search, Organize, Conquer| On Tue, Jul 30, 2024 at PM, CR wrote: - - - Reply above this line. CR commented: Good afternoon, I just received feedback from our inventory team that this item is bulk packed and comes as one 30lb case. Not individually packed CiArra [View request| [Turn off this request's notifications| This is shared with [ Sent on July 30, 2024 :34 PM EDT !"
563,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon Andrea, Just following up from our phone call that the use-by dates on this item are: 9/1/2024-9/10/2024 Attached is a photo of an individual fruit cup. !Image20240806151523.png|width=600,height=600,alt=""Image20240806151523.png""! Best,"
564,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. We apologize for the inconvenience that items were removed from your order and understand the disruption this causes for your distribution. I will forward your feedback to our Food Resourcing team, and should we get further clarity on why this pallet was removed from your order, I will follow up with you directly."
565,"Spoke with partner on the phone, was able to reschedule the delivery, need info still from ops/transportation about missing items CiArra Good morning Andrea, I hope you are doing well. I wanted to write to you regarding the missing items list. I have been in communication with our Operations Department about the issue with your order. After searching the warehouse and conducting some internal inventory recalculations, we have identified inventory errors and mispicking for this order. A few weeks ago, we communicated to all our agency partners about the challenges we have been facing with inventory and operations. We acknowledge the impact this has on our partners and their distributions. We are working internally to address this issue by conducting more inventory calibration and providing additional training for our staff to improve accuracy in our Operations Department. Unfortunately, these items cannot be redelivered as we no longer have them. I understand this is frustrating and have reported this incident, as well as others from our partners, to my leadership. We are dedicated to improving your experience with us and want to ensure you have a better experience. Please accept our apology. ""D"" ""D"", Thank you for the email We appreciate the update and for all the team at Capital Area Food Bank do in addressing food insecurity in our community. Have a wonderful week. Sincerely, Andrea [Yahoo Mail: Search, Organize, Conquer| On Wed, Oct 9, 2024 at AM, DH wrote: - - - Reply above this line. DH commented: Good morning Andrea, I hope you are doing well. I wanted to write to you regarding the missing items list. I have been in communication with our Operations Department about the issue with your order. After searching the warehouse and conducting some internal inventory recalculations, we have identified inventory errors and mispicking for this order. A few weeks ago, we communicated to all our agency partners about the challenges we have been facing with inventory and operations. We acknowledge the impact this has on our partners and their distributions. We are working internally to address this issue by conducting more inventory calibration and providing additional training for our staff to improve accuracy in our Operations Department. Unfortunately, these items cannot be redelivered as we no longer have them. I understand this is frustrating and have reported this incident, as well as others from our partners, to my leadership. We are dedicated to improving your experience with us and want to ensure you have a better experience. Please accept our apology. ""D"" ---- DH resolved this as Done. How was our service for this request? |[ | Very poor |[ | |[ | |[ | |[ | good | [View request| [Turn off this request's notifications| This is shared with and [ Sent on October 9, 2024 :44 AM EDT"
566,"Good afternoon, Andrea, Thank you for your question. Could you please clarify a bit more about what you are asking? Are you referring to your volunteers at your site? Is your question what regulations are in place regarding your volunteers obtaining food from your distributions that include food from CAFB? I m happy to help; I just need some clarification. Best, ""D"" ""D"", Thank you ""D"". Yes, to both questions. On the second question, we are referring to food specifically coming from CAFB. Thank you. [Yahoo Mail: Search, Organize, Conquer| On Mon, Oct 28, 2024 at PM, DH wrote: - - - Reply above this line. DH commented: Good afternoon, Andrea, Thank you for your question. Could you please clarify a bit more about what you are asking? Are you referring to your volunteers at your site? Is your question what regulations are in place regarding your volunteers obtaining food from your distributions that include food from CAFB? I m happy to help; I just need some clarification. Best, ""D"" [View request| [Turn off this request's notifications| This is shared with and [ Sent on October 28, 2024 :13 PM EDT ! Hi Andrea, I spoke to the Regional Coordinators and below is the itnel that they had to share about this topic: Partners cannot require clients to volunteer in exchange for food. This policy must be clearly communicated between both parties (partner site and volunteer). However, if a volunteer needs food and wishes to continue volunteering, partners have the option to take them on as clients as well. Since you are using Service Insights, the partners will need to create a client profile for the volunteer in the same manner as they do for all clients. Volunteers have the same access to food as clients. Therefore, if the partner has zip code or income restrictions, the volunteer must meet the same qualifications as clients do. Let me know if you need any further questions! ""D"" ""D"", Thank you very much for the information. Our volunteers in need do have access to food but my coordinator was talking to another coordinator from the Maryland food bank and it was suggested that we need to find out CAFB's guidelines on CAFB food and volunteers. Thank you for the clarification. Sincerely, Andrea [Yahoo Mail: Search, Organize, Conquer| On Mon, Oct 28, 2024 at PM, DH wrote: - - - Reply above this line. DH commented: Hi Andrea, I spoke to the Regional Coordinators and below is the itnel that they had to share about this topic: Partners cannot require clients to volunteer in exchange for food. This policy must be clearly communicated between both parties (partner site and volunteer). However, if a volunteer needs food and wishes to continue volunteering, partners have the option to take them on as clients as well. Since you are using Service Insights, the partners will need to create a client profile for the volunteer in the same manner as they do for all clients. Volunteers have the same access to food as clients. Therefore, if the partner has zip code or income restrictions, the volunteer must meet the same qualifications as clients do. Let me know if you need any further questions! ""D"" [View request| [Turn off this request's notifications| This is shared with and [ Sent on October 28, 2024 :34 PM EDT ! You are welcome!"
567,"qm: Good morning, Thank you for contacting Customer Support. We are looking into this. Hello, Thank you for inquiring about this item. This item is delivered by the case, not the pallet and we apologize for any confusion on what was expected."
568,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning and thank you for contacting customer support. I have sent your inquiry over to our inventory team and will follow up with you as soon as possible CiArra Good morning, Below are the dates you have requested: 100859 - Oct 2024, 100857 - 5/2024, 100489 - 6/2025 ""D"""
569,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Partner called in to ask for exp dates, provided dates over the phone."
570,"Hi Brenna St. Cyr, s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for registering for the session held this afternoon. I will attach the link to this message. Link to Zoom meeting: ["
571,"Good morning, Thank you for contacting customer support. Below are the following dates available for the items you reached out about. Please note that item 111033 does not show up in our inventory. 100773 - This product is shelf stable 100765 Oat milk - 2/28/2025 111033 Chocolate milk - This product is not available in our inventory 100780 Canned Corn - 8/23/2026 100772 Creamed Corn - 7/20/2026"
